Area,Name,Rating,Total Ratings,Address,Latitude,Longitude
Churchgate,Tea Post,4.4,134,"34, Kakad House, opp. Bombay Hospital, New Marine Lines, Marine Lines, Mumbai, Maharashtra 400020, India",18.9414567,72.8278625
Churchgate,Pizza By The Bay,4.2,25681,"Soona Mahal, 143, Marine Dr, Churchgate, Mumbai, Maharashtra 400020, India",18.9333915,72.82388209999999
Churchgate,Subko Mini At Kitab Khana,4.4,255,"45, Ground Floor, Flora Fountain Somaiya Bhavan, 47, Mahatma Gandhi Road, Fort, Mumbai, Maharashtra 400001, India",18.9320316,72.8319015
Churchgate,Cafe Ideal,4.1,2934,"Fulchand Niwas, Dr. Purandare Marg, Chowpatty Seaface, Girgaon, Mumbai, Maharashtra 400007, India",18.955721,72.81302029999999
Churchgate,Colaba SOCIAL,4.2,9490,"B K Boman Behram Marg Shop 24, Ground Floor, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9216619,72.8322984
Dadar,"Grandmama's Cafe, Dadar East",4.1,8457,"Dharamputra Pritam Estate, 20 & 21, Dr Babasaheb Ambedkar Marg, Dadar East, Dadar, Mumbai, Maharashtra 400014, India",19.0168049,72.84618689999999
Dadar,Mumbai Bistro - The Cafe,4.0,1561,"Building by, SUGEE SADAN by SUGEE GROUP, Shop No.3, Sugi Sadan, Gokhale Rd, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0163208,72.83521999999999
Dadar,Cafe Trofima,4.2,1898,"Raja Badhe Chowk Opp. Raja Rani Travels Shivaji Park Road Number 2, Lady Jamshedji Rd, Mumbai, Maharashtra 400016, India",19.0281881,72.841099
Dadar,Brew Haus Cafe,4.6,375,"Bhavani Shankar Cross Road, opposite JaiGopal Industries, Near Kabutar khana, Dadar West, Dadar, Mumbai, Maharashtra 400028, India",19.0156827,72.8379049
Dadar,Café 792,4.2,846,"792, Outhouse, Dina Manzil, Jame Jamshed Rd, Central Railway Colony, Mahavir Nagar, Parsee Colony, Dadar, Mumbai, Maharashtra 400014, India",19.0174663,72.8487093
Dadar,Fully Loaded,4.0,117,"Shop No.5, Lumiere Apartment, Purandhare Wadi, Gokhale Rd N, Dadar West, Mumbai, Maharashtra 400028, India",19.0212259,72.836907
Dadar,Rahul’s Cafe,4.7,175,"26, SS Wagh Marg, Radhika Saikripa Co-op Society, Naigaon, Dadar, Mumbai, Maharashtra 400014, India",19.0118069,72.8456133
Dadar,Chaos Control Cafe,4.3,2687,"Gr. Floor, Crystal Towers St. Xavier's Street, Parel, Mumbai, Maharashtra 400012, India",19.0062624,72.84079179999999
Dadar,Cafe Colony Stores & Restaurant,4.0,1104,"Shrikant Lodge, Tilak Rd, near Tilak Bridge, Dadar TT, Dadar East, Dadar, Mumbai, Maharashtra 400014, India",19.0186867,72.846831
Dadar,Reap-Eat Cafe,4.8,325,"Tilak Bhavan, Parel Railway Station, Shop no. 2, Bhori Chawl, Senapati Bapat Marg, West, opposite One International Center, Parel, Mumbai, Maharashtra 400028, India",19.0113906,72.8352692
Dadar,Mutuswami Cafe,3.9,2130,"Ground Floor, Ramee Guestline Hotel, opp. Swaminarayan Temple, Dadar East, Dadar, Mumbai, Maharashtra 400014, India",19.0171403,72.8446575
Dadar,Nude Food Cafe,4.5,774,"364, Dhuru Apartment, Swatantryaveer Savarkar Rd, Dadar West, Prabhadevi, Mumbai, Maharashtra 400028, India",19.0195391,72.8318982
Dadar,Cheezy Freezy,4.5,92,"Chaityabhoomi Shop no 05, Park Apartment, Dadar West, Shivaji Park, Mumbai, Maharashtra 400028, India",19.0254758,72.835517
